timestamp,state,cpu_avg_percent,cpu_max_percent,pps,rx_drops_delta,events_sent,events_lost_delta,xdp_pass,xdp_drop
2026-06-21 23:16:40,N,13.38,35.0,2.0,0,0,0,2,0
2026-06-21 23:16:41,R,11.48,25.9,5.0,1,0,0,7,0
2026-06-21 23:16:42,N,8.48,19.4,7.0,0,0,0,14,0
2026-06-21 23:16:43,R,12.33,31.5,3.0,1,0,0,17,0
2026-06-21 23:16:44,H,31.7,89.1,3.0,0,0,0,20,0
2026-06-21 23:16:45,N,9.32,24.5,2.0,0,0,0,22,0
2026-06-21 23:16:46,N,10.6,26.9,3.0,0,0,0,25,0
2026-06-21 23:16:47,N,9.36,23.9,4.0,0,0,0,29,0
2026-06-21 23:16:48,N,15.37,62.4,2.0,0,0,0,31,0
2026-06-21 23:16:50,N,9.84,25.5,3.0,0,0,0,34,0
2026-06-21 23:16:51,R,9.94,24.1,2.0,1,0,0,36,0
2026-06-21 23:16:52,N,9.37,23.4,3.0,0,0,0,39,0
2026-06-21 23:16:53,N,10.36,25.9,2.0,0,0,0,41,0
2026-06-21 23:16:54,N,11.59,33.0,2.0,0,0,0,43,0
2026-06-21 23:16:55,N,9.57,25.0,2.0,0,0,0,45,0
2026-06-21 23:16:56,N,11.14,29.1,0.0,0,0,0,45,0
2026-06-21 23:16:57,N,9.34,24.3,3.0,0,0,0,48,0
2026-06-21 23:16:58,N,10.87,34.5,5.0,0,0,0,53,0
2026-06-21 23:16:59,C,31.58,90.8,4.0,0,0,0,57,0
2026-06-21 23:17:01,C,35.71,100.0,2.0,0,0,0,59,0
2026-06-21 23:17:02,C,35.64,100.0,1.0,0,0,0,60,0
2026-06-21 23:17:03,R,35.01,100.0,5.0,2,0,0,65,0
2026-06-21 23:17:04,C,34.81,100.0,3.0,0,0,0,68,0
2026-06-21 23:17:05,N,10.1,44.0,1.0,0,0,0,69,0
2026-06-21 23:17:06,R,15.38,45.4,2.0,1,0,0,71,0
2026-06-21 23:17:07,C,33.78,96.4,5.0,0,0,0,76,0
2026-06-21 23:17:08,R,37.58,100.0,3.0,1,0,0,79,0
2026-06-21 23:17:09,C,35.87,100.0,3.0,0,0,0,82,0
2026-06-21 23:17:11,R,37.73,100.0,1.0,1,0,0,83,0
2026-06-21 23:17:12,C,37.12,100.0,2.0,0,0,0,85,0
2026-06-21 23:17:13,R,35.48,100.0,9.0,1,0,0,94,0
2026-06-21 23:17:14,R,36.79,100.0,5.0,1,0,0,99,0
2026-06-21 23:17:15,C,36.54,100.0,2.0,0,1,0,101,0
2026-06-21 23:17:16,C,38.38,100.0,2.0,0,1,0,103,0
2026-06-21 23:17:17,C,37.89,100.0,6.0,0,1,0,109,0
2026-06-21 23:17:18,C,36.01,100.0,3.0,0,1,0,112,0
2026-06-21 23:17:19,C,37.67,100.0,2.0,0,1,0,114,0
2026-06-21 23:17:20,C,35.32,100.0,2.0,0,1,0,116,0
2026-06-21 23:17:21,C,36.43,100.0,4.0,0,1,0,120,0
2026-06-21 23:17:23,C,35.63,100.0,5.0,0,1,0,125,0
2026-06-21 23:17:24,R,35.88,100.0,5.0,1,1,0,130,0
2026-06-21 23:17:25,C,36.9,100.0,1.0,0,1,0,131,0
2026-06-21 23:17:26,R,36.42,100.0,1.0,1,1,0,132,0
2026-06-21 23:17:27,C,35.41,100.0,4.0,0,1,0,136,0
2026-06-21 23:17:28,R,35.17,100.0,4.0,2,1,0,140,0
2026-06-21 23:17:29,C,35.05,100.0,3.0,0,1,0,143,0
2026-06-21 23:17:30,C,35.3,100.0,2.0,0,1,0,145,0
2026-06-21 23:17:31,R,35.57,100.0,5.0,1,1,0,150,0
2026-06-21 23:17:33,C,35.48,100.0,1.0,0,1,0,151,0
2026-06-21 23:17:34,R,35.74,100.0,3.0,2,1,0,154,0
2026-06-21 23:17:35,R,35.12,100.0,5.0,1,1,0,159,0
2026-06-21 23:17:36,C,36.18,100.0,1.0,0,1,0,160,0
2026-06-21 23:17:37,C,36.52,100.0,2.0,0,1,0,162,0
2026-06-21 23:17:38,R,35.88,100.0,2.0,1,1,0,164,0
2026-06-21 23:17:39,C,36.9,100.0,3.0,0,1,0,167,0
2026-06-21 23:17:40,R,36.73,100.0,3.0,1,1,0,170,0
2026-06-21 23:17:41,C,36.34,100.0,1.0,0,1,0,171,0
2026-06-21 23:17:43,C,36.2,100.0,4.0,0,1,0,175,0
2026-06-21 23:17:44,C,36.7,100.0,2.0,0,1,0,177,0
2026-06-21 23:17:45,C,36.68,100.0,6.0,0,1,0,183,0
2026-06-21 23:17:46,C,38.18,100.0,11.0,0,1,0,194,0
2026-06-21 23:17:47,C,37.09,100.0,4.0,0,1,0,198,0
2026-06-21 23:17:48,C,37.35,100.0,3.0,0,2,0,201,0
2026-06-21 23:17:49,C,36.93,100.0,2.0,0,2,0,203,0
2026-06-21 23:17:50,C,38.29,100.0,2.0,0,2,0,205,0
2026-06-21 23:17:51,C,37.48,100.0,1.0,0,2,0,206,0
2026-06-21 23:17:52,C,35.26,100.0,2.0,0,2,0,208,0
2026-06-21 23:17:53,R,35.49,100.0,2.0,1,2,0,210,0
2026-06-21 23:17:55,C,35.47,100.0,5.0,0,2,0,215,0
2026-06-21 23:17:56,C,35.23,100.0,2.0,0,2,0,217,0
2026-06-21 23:17:57,C,34.95,100.0,4.0,0,2,0,221,0
2026-06-21 23:17:58,R,35.33,100.0,4.0,2,2,0,225,0
2026-06-21 23:17:59,C,37.55,95.5,4.0,0,2,0,229,0
2026-06-21 23:18:00,R,37.79,98.2,2.0,1,2,0,231,0
2026-06-21 23:18:01,C,38.23,100.0,2.0,0,2,0,233,0
2026-06-21 23:18:02,C,33.82,100.0,0.0,0,2,0,233,0
2026-06-21 23:18:03,R,36.14,98.2,2.0,1,2,0,235,0
2026-06-21 23:18:05,C,35.09,98.2,0.0,0,2,0,235,0
2026-06-21 23:18:06,C,37.48,100.0,0.0,0,2,0,235,0
2026-06-21 23:18:07,C,35.84,98.2,6.0,0,2,0,241,0
2026-06-21 23:18:08,R,35.99,98.2,3.0,1,2,0,244,0
2026-06-21 23:18:09,C,34.77,100.0,3.0,0,2,0,247,0
2026-06-21 23:18:10,R,34.93,97.3,3.0,1,2,0,250,0
2026-06-21 23:18:11,C,33.02,92.7,4.0,0,2,0,254,0
2026-06-21 23:18:12,C,31.75,90.8,5.0,0,2,0,259,0
