timestamp,state,cpu_avg_percent,cpu_max_percent,pps,rx_drops_delta,events_sent,events_lost_delta,xdp_pass,xdp_drop
2026-06-21 23:55:39,N,28.22,52.7,118.0,0,1,0,118,0
2026-06-21 23:55:40,N,36.41,64.4,10.0,0,1,0,128,0
2026-06-21 23:55:41,R,13.84,24.1,3.0,1,1,0,131,0
2026-06-21 23:55:42,N,7.17,16.7,4.0,0,1,0,135,0
2026-06-21 23:55:43,N,10.31,22.0,1.0,0,1,0,136,0
2026-06-21 23:55:44,N,7.13,16.7,3.0,0,1,0,139,0
2026-06-21 23:55:45,R,6.68,15.6,4.0,1,1,0,143,0
2026-06-21 23:55:46,N,7.02,15.7,5.0,0,1,0,148,0
2026-06-21 23:55:48,R,7.15,16.7,3.0,1,1,0,151,0
2026-06-21 23:55:49,N,7.17,16.5,1.0,0,1,0,152,0
2026-06-21 23:55:50,R,8.1,19.3,3.0,1,1,0,155,0
2026-06-21 23:55:51,N,8.57,22.3,77.0,0,2,0,232,0
2026-06-21 23:55:52,N,7.75,19.4,83.0,0,3,0,315,0
2026-06-21 23:55:53,N,8.03,20.0,40.0,0,3,0,355,0
2026-06-21 23:55:54,N,7.08,18.5,17.0,0,3,0,372,0
2026-06-21 23:55:55,N,8.28,21.3,5.0,0,3,0,377,0
2026-06-21 23:55:56,N,7.98,20.4,1.0,0,3,0,378,0
2026-06-21 23:55:57,R,7.78,19.6,2.0,1,3,0,380,0
2026-06-21 23:55:58,N,7.65,19.1,3.0,0,3,0,383,0
2026-06-21 23:55:59,R,8.35,21.1,10.0,1,3,0,393,0
2026-06-21 23:56:01,N,8.96,23.4,5.0,0,3,0,398,0
2026-06-21 23:56:02,N,9.62,25.0,0.0,0,3,0,398,0
2026-06-21 23:56:03,N,8.26,21.2,6.0,0,4,0,404,0
2026-06-21 23:56:04,N,8.22,20.5,6.0,0,4,0,410,0
2026-06-21 23:56:05,N,18.26,53.6,273.0,0,6,0,683,0
2026-06-21 23:56:06,R,27.62,79.8,17.0,1,7,0,700,0
